#query	KEGG_ko
k141_185412_2	ko:K01610
k141_202947_10	ko:K00097
k141_202947_11	ko:K14998
k141_202947_13	ko:K02276
k141_16605_1	ko:K01007
k141_16605_2	ko:K00108
k141_945212_1	ko:K03177
k141_945212_2	ko:K17218
k141_945212_3	ko:K01638
k141_945222_1	ko:K02056
k141_575366_1	ko:K02198
k141_16665_1	ko:K01682
k141_16665_2	ko:K06972
k141_575479_1	ko:K15513
k141_16896_1	ko:K03648
k141_16896_2	ko:K04567
k141_16896_3	ko:K02836
k141_575622_1	ko:K03320
k141_575622_2	ko:K00906
k141_575622_3	ko:K01637
k141_389264_1	ko:K00024
k141_389264_2	ko:K06898
k141_945494_2	ko:K03273
k141_945494_3	ko:K00655
k141_945494_4	ko:K02528
k141_945494_5	ko:K07152
k141_575651_1	ko:K05539
k141_945521_1	ko:K00528
k141_945521_2	ko:K07107,ko:K12500,ko:K17735
k141_575720_17	ko:K07207
k141_575720_18	ko:K04678
k141_575720_20	ko:K04678
k141_575720_21	ko:K04678
k141_389362_2	ko:K03926
k141_389362_4	ko:K01953
k141_389362_5	ko:K02474
k141_389362_6	ko:K01784
k141_389362_8	ko:K01791
k141_389362_11	ko:K13668
k141_203341_2	ko:K01439
k141_389422_2	ko:K01452
k141_17115_2	ko:K00031
k141_17115_3	ko:K00031
k141_17115_4	ko:K02493
k141_945683_1	ko:K15509
k141_945691_1	ko:K03695
k141_945691_2	ko:K01652
k141_945691_3	ko:K01653
k141_17137_6	ko:K03182
k141_17137_8	ko:K16306
k141_17137_9	ko:K11646
k141_17137_10	ko:K03785
k141_1129589_1	ko:K01784,ko:K12448
k141_945808_1	ko:K01652
k141_945808_2	ko:K03075
k141_945808_3	ko:K01803
k141_945819_1	ko:K01952
k141_762764_1	ko:K09458
k141_762764_2	ko:K02078
k141_762764_3	ko:K00059
k141_762764_4	ko:K00648
k141_762764_5	ko:K03621
k141_762764_6	ko:K02911
k141_762764_8	ko:K06877
k141_762764_9	ko:K01626
k141_389566_1	ko:K04771
k141_575985_1	ko:K00859
k141_575985_2	ko:K02455
k141_203539_1	ko:K15539
k141_203539_2	ko:K06941
k141_762777_2	ko:K02871
k141_762777_3	ko:K02996
k141_762777_4	ko:K00145
k141_389618_1	ko:K03724
k141_762784_1	ko:K00681
k141_762784_2	ko:K01738
k141_17322_1	ko:K01267
k141_1129785_2	ko:K06888
k141_1129785_3	ko:K03594
k141_1129785_5	ko:K00382
k141_1129785_15	ko:K01676,ko:K01678,ko:K03780
k141_1129785_17	ko:K07126
k141_1129785_18	ko:K06942
k141_1129785_19	ko:K03427
k141_1129792_1	ko:K00525
k141_946033_1	ko:K02026
k141_946033_2	ko:K02025
k141_946033_4	ko:K02027
k141_946033_5	ko:K00558
k141_946033_7	ko:K07406
k141_576193_2	ko:K03320
k141_576193_3	ko:K02617,ko:K08279
k141_576195_1	ko:K03320
k141_576195_2	ko:K02617,ko:K08279
k141_762954_1	ko:K05539
k141_762954_2	ko:K01919
k141_762954_3	ko:K01623
k141_576216_1	ko:K01713,ko:K14170
k141_203805_1	ko:K01955
k141_203807_1	ko:K03624
k141_203807_2	ko:K01955
k141_763034_2	ko:K02025
k141_763034_3	ko:K02027
k141_763034_4	ko:K10191
k141_1129941_1	ko:K03793
k141_1129941_2	ko:K00974
k141_1129941_3	ko:K01525
k141_1129941_4	ko:K02528
k141_1129941_5	ko:K00097
k141_1129941_6	ko:K03771
k141_1129941_8	ko:K07102
k141_1129941_9	ko:K00966,ko:K00992
k141_203850_1	ko:K06997
k141_203850_2	ko:K00795
k141_203850_4	ko:K03602
k141_203850_5	ko:K03497
k141_203850_6	ko:K03496
k141_203850_7	ko:K03501
k141_203850_8	ko:K03495
k141_576377_1	ko:K02523
k141_763118_1	ko:K22083
k141_389921_1	ko:K02319
k141_389921_2	ko:K01493
k141_389921_3	ko:K03703,ko:K10896
k141_946260_2	ko:K00569
k141_946260_3	ko:K05306
k141_946260_4	ko:K01623
k141_17617_3	ko:K05808
k141_17617_4	ko:K02806
k141_17617_5	ko:K11189
k141_17617_7	ko:K03070
k141_17617_8	ko:K00620
k141_17617_9	ko:K02654
k141_17617_11	ko:K01919,ko:K01955,ko:K03802
k141_17617_12	ko:K01856,ko:K19802
k141_17617_13	ko:K02653
k141_17617_14	ko:K02454,ko:K02652
k141_17617_15	ko:K02650
k141_17617_17	ko:K03317
k141_17617_19	ko:K01620,ko:K20801
k141_17617_20	ko:K03559
k141_17617_21	ko:K07793
k141_203921_1	ko:K18459
k141_1130013_1	ko:K01912
k141_576435_1	ko:K07088
k141_203956_2	ko:K03723
k141_17695_1	ko:K00121
k141_576462_1	ko:K00459
k141_576462_2	ko:K07568
k141_576462_3	ko:K00773
k141_763217_1	ko:K01640
k141_763217_2	ko:K01965,ko:K01968
k141_763217_3	ko:K01969
k141_946325_1	ko:K10026
k141_946325_2	ko:K21990
k141_946325_3	ko:K01495
k141_946325_5	ko:K06920
k141_946325_6	ko:K00872
k141_946325_7	ko:K06883
k141_946325_8	ko:K07027
k141_946325_9	ko:K07124
k141_946359_3	ko:K02010,ko:K10112
k141_946359_8	ko:K00046,ko:K00065
k141_946359_9	ko:K00046,ko:K00065
k141_946359_10	ko:K00549
k141_1130147_2	ko:K00685
k141_204093_2	ko:K09937
k141_576636_1	ko:K01652
k141_576636_2	ko:K11717
k141_17790_1	ko:K01881
k141_576711_1	ko:K00121
k141_576711_4	ko:K03522
k141_576711_5	ko:K03521
k141_576789_1	ko:K01872
k141_390325_3	ko:K03644
k141_390325_4	ko:K03801
k141_390325_5	ko:K07258
k141_946632_2	ko:K07580
k141_946632_3	ko:K03232
k141_946632_4	ko:K13525
k141_946632_5	ko:K13525
k141_204319_1	ko:K12172
k141_946650_1	ko:K02519
k141_390417_1	ko:K21395
k141_1130485_1	ko:K05837
k141_1130485_2	ko:K08305
k141_1130485_3	ko:K03642
k141_204363_3	ko:K18260
k141_204363_4	ko:K18260
k141_204396_1	ko:K00265
k141_204396_2	ko:K00266
k141_576991_1	ko:K00604
k141_576991_2	ko:K01462
k141_763797_2	ko:K00363,ko:K05710,ko:K17247
k141_763824_2	ko:K03497
k141_390603_1	ko:K13051
k141_1130557_1	ko:K03119
k141_1130557_6	ko:K03797
k141_1130557_7	ko:K01814
k141_1130557_8	ko:K01089,ko:K01693
k141_1130557_10	ko:K03575
k141_1130557_12	ko:K00799
k141_1130557_16	ko:K03811
k141_1130557_17	ko:K00971,ko:K16011
k141_1130557_18	ko:K16091
k141_1130557_21	ko:K00320
k141_1130557_23	ko:K00077
k141_1130557_25	ko:K00626
k141_1130557_26	ko:K07068
k141_1130557_27	ko:K01082
k141_1130557_28	ko:K04762
k141_1130557_29	ko:K01610
k141_1130557_30	ko:K01919
k141_1130557_31	ko:K08682
k141_1130560_2	ko:K00145
k141_946876_1	ko:K08312
k141_946876_2	ko:K01082
k141_946876_3	ko:K00939
k141_946876_4	ko:K01698
k141_1130606_2	ko:K02035,ko:K12368
k141_764115_4	ko:K16887
k141_764115_5	ko:K03389
k141_764141_1	ko:K00847
k141_764193_1	ko:K03043
k141_764193_2	ko:K02935
k141_1130772_1	ko:K00335
k141_1130772_2	ko:K00336
k141_204849_1	ko:K03702
k141_18410_4	ko:K07403
k141_18410_5	ko:K14153
k141_18410_7	ko:K01689
k141_577381_1	ko:K05837
k141_577381_2	ko:K05515
k141_577381_3	ko:K03571
k141_577381_5	ko:K03569
k141_577381_6	ko:K01945
k141_577381_7	ko:K00602
k141_577381_8	ko:K00014
k141_577387_1	ko:K02448
k141_1130856_3	ko:K02039
k141_1130887_1	ko:K11181
k141_1130887_2	ko:K11180
k141_204914_2	ko:K01714
k141_18536_2	ko:K03183
k141_18536_6	ko:K04748
k141_18536_8	ko:K01843
k141_18536_9	ko:K01494
k141_18536_11	ko:K20742
k141_18536_12	ko:K09931
k141_18536_14	ko:K03644,ko:K03801
k141_947321_2	ko:K18843
k141_1131041_2	ko:K00175
k141_1131041_3	ko:K00174
k141_391229_2	ko:K03106
k141_18632_2	ko:K03563
k141_764516_2	ko:K05606
k141_764516_3	ko:K01847,ko:K01848
k141_764516_4	ko:K07588
k141_764516_5	ko:K01069
k141_764516_7	ko:K03469
k141_764516_8	ko:K02342,ko:K14159
k141_764516_9	ko:K00571,ko:K00590,ko:K07319
k141_764516_10	ko:K03314
k141_205163_1	ko:K02033
k141_205163_2	ko:K02034
k141_391303_1	ko:K03856,ko:K04516
k141_391303_2	ko:K01011
k141_391303_3	ko:K01591
k141_18728_1	ko:K09969
k141_18728_2	ko:K03498
k141_577671_1	ko:K07454
k141_577671_2	ko:K01951
k141_577671_3	ko:K00088
k141_577671_8	ko:K00023
k141_577671_9	ko:K00626
k141_947508_1	ko:K01501,ko:K11206
k141_947508_2	ko:K03568
k141_947516_2	ko:K07397
k141_764679_1	ko:K04043
k141_577725_1	ko:K05710,ko:K18087
k141_577725_2	ko:K02340
k141_764701_1	ko:K01847,ko:K14447
k141_947557_2	ko:K07090
k141_577740_1	ko:K17324
k141_1131266_1	ko:K13766
k141_1131266_2	ko:K00020
k141_577748_2	ko:K00831
k141_1131334_1	ko:K19191
k141_391566_1	ko:K20952
k141_391566_3	ko:K00973
k141_18954_2	ko:K20649
k141_764893_1	ko:K03733
k141_764893_2	ko:K15987
k141_764919_1	ko:K08483
k141_764919_2	ko:K06218
k141_947772_1	ko:K06877
k141_765025_1	ko:K03595
k141_577944_3	ko:K02991
k141_577944_4	ko:K03242
k141_577944_5	ko:K07158
k141_577944_6	ko:K06910
k141_577944_7	ko:K07151
k141_577944_8	ko:K11130
k141_577944_9	ko:K03237
k141_577944_10	ko:K19221
k141_577944_11	ko:K02224
k141_577944_12	ko:K06042
k141_577944_13	ko:K06042
k141_577944_14	ko:K02189
k141_577944_15	ko:K02188
k141_577944_17	ko:K00789
k141_577944_18	ko:K04796
k141_577944_19	ko:K04482,ko:K04483
k141_577944_21	ko:K03724
k141_765061_1	ko:K01783
k141_765061_2	ko:K01657
k141_765061_3	ko:K01657
k141_947871_1	ko:K03685
k141_947871_2	ko:K03100
k141_947871_3	ko:K03596
k141_947871_4	ko:K04771
k141_391741_1	ko:K01739
k141_391767_1	ko:K13963
k141_19249_1	ko:K00525
k141_19252_1	ko:K03553
k141_1131604_1	ko:K00937
k141_1131604_2	ko:K03699
k141_205611_6	ko:K11912
k141_205611_7	ko:K01069
k141_205611_11	ko:K02483,ko:K07663
k141_205611_20	ko:K03974
k141_205611_21	ko:K03969
k141_205611_22	ko:K03970
k141_205611_23	ko:K03973
k141_205611_26	ko:K02343
k141_205611_28	ko:K09747
k141_205611_29	ko:K06187
k141_205611_30	ko:K03684
k141_205611_31	ko:K09160
k141_205611_34	ko:K09989
k141_205611_35	ko:K03578
k141_205611_37	ko:K09930
k141_205611_38	ko:K09929
k141_205611_39	ko:K07315
k141_205611_41	ko:K05539
k141_205611_42	ko:K02535
k141_205611_43	ko:K01992
k141_205611_44	ko:K01992
k141_205611_45	ko:K01990
k141_205611_46	ko:K17103
k141_205611_47	ko:K07147
k141_205611_48	ko:K17247
k141_205611_50	ko:K14393
k141_205611_51	ko:K01724
k141_205611_54	ko:K00274
k141_205611_55	ko:K01772
k141_205611_56	ko:K00435
k141_205611_57	ko:K01599
k141_205611_58	ko:K02377
k141_205611_59	ko:K01711
k141_205611_65	ko:K16423
k141_205611_68	ko:K03366
k141_205644_1	ko:K02035
k141_205644_2	ko:K15581
k141_205644_3	ko:K02034
k141_205644_4	ko:K02031,ko:K15587
k141_948045_1	ko:K02055
k141_948102_2	ko:K02313
k141_205721_1	ko:K01462
k141_948147_2	ko:K06222
k141_948149_1	ko:K00847
k141_19404_1	ko:K03665
k141_19404_2	ko:K00791
k141_392018_2	ko:K13609
k141_205822_2	ko:K00499
k141_392077_1	ko:K01915
k141_1131849_1	ko:K01469
k141_578477_1	ko:K01995,ko:K11957
k141_578477_2	ko:K00001,ko:K00043
k141_19539_1	ko:K15916
k141_19539_2	ko:K08963
k141_19539_5	ko:K00059
k141_19539_7	ko:K00604
k141_19539_8	ko:K07561
k141_948317_1	ko:K02011
k141_948317_2	ko:K02012
k141_1131893_1	ko:K06966
k141_392178_1	ko:K00324
k141_392178_2	ko:K00325
k141_392178_3	ko:K07684
k141_1131903_1	ko:K00826
k141_1131907_4	ko:K00928
k141_1131907_6	ko:K00826
k141_765597_1	ko:K09700
k141_205924_1	ko:K03495
k141_765611_1	ko:K01426,ko:K02433
k141_765611_3	ko:K02427
k141_765611_4	ko:K03798
k141_765611_5	ko:K00796
k141_765611_6	ko:K03431
k141_392238_1	ko:K02027
k141_392238_2	ko:K02027
k141_578597_1	ko:K00382
k141_392295_1	ko:K01887
k141_1131996_1	ko:K00626
k141_392298_2	ko:K20444
k141_392298_3	ko:K00067
k141_392298_4	ko:K01790
k141_392298_5	ko:K00973
k141_392298_6	ko:K03075
k141_392298_7	ko:K01803
k141_392298_9	ko:K03431
k141_392298_10	ko:K03798
k141_392298_11	ko:K03624
k141_392298_12	ko:K01955
k141_392298_13	ko:K01956
k141_765707_3	ko:K00108
k141_765707_4	ko:K15724
k141_1132058_2	ko:K01697,ko:K01738
k141_948494_1	ko:K00571
k141_948494_2	ko:K00822
k141_948494_3	ko:K16871
k141_948494_5	ko:K03924
k141_948494_8	ko:K07114
k141_948494_9	ko:K07114
k141_392371_1	ko:K13875
k141_392371_2	ko:K00571
k141_392371_5	ko:K00558
k141_392371_6	ko:K21883
k141_948622_2	ko:K03769
k141_948622_3	ko:K00374
k141_948622_4	ko:K00373
k141_948622_5	ko:K00371
k141_948622_6	ko:K00370
k141_948622_7	ko:K02575
k141_948622_8	ko:K02575
k141_948677_3	ko:K02558
k141_19827_2	ko:K00939
k141_19827_3	ko:K01607
k141_948729_1	ko:K03664
k141_578928_1	ko:K07316
k141_19930_2	ko:K03101
k141_19930_3	ko:K01870
k141_19930_4	ko:K11753
k141_19930_5	ko:K03980
k141_19930_7	ko:K01515
k141_19930_8	ko:K00609
k141_19930_9	ko:K06147,ko:K11085
k141_19930_17	ko:K04077
k141_19930_18	ko:K04078
k141_19930_20	ko:K01610
k141_19930_23	ko:K03862
k141_19930_24	ko:K07152
k141_19930_25	ko:K02257
k141_19930_26	ko:K02259
k141_206466_4	ko:K03379
k141_206466_7	ko:K03654
k141_206466_9	ko:K19802
k141_206466_10	ko:K00824
k141_206466_12	ko:K22024
k141_206466_13	ko:K01915
k141_20017_1	ko:K03545
k141_20017_2	ko:K01358
k141_392731_1	ko:K01704
k141_392731_2	ko:K01703
k141_206630_1	ko:K02342
k141_206630_2	ko:K03469
k141_206630_4	ko:K01069
k141_206630_6	ko:K07000
k141_206630_7	ko:K02528
k141_206630_8	ko:K00097
k141_206679_2	ko:K01724
k141_206679_3	ko:K00059
k141_949276_2	ko:K11749
k141_949311_3	ko:K18244
k141_392845_2	ko:K11074
k141_392845_3	ko:K11075
k141_392845_4	ko:K11076
k141_392845_5	ko:K11073
k141_20309_2	ko:K02026
k141_392924_1	ko:K08300
k141_393038_1	ko:K13821
k141_393038_2	ko:K02343
k141_579528_2	ko:K18626
k141_20539_1	ko:K01652
k141_20539_2	ko:K01799
k141_949671_2	ko:K01975
k141_766886_3	ko:K01628
k141_949687_3	ko:K00799
k141_949687_5	ko:K01968
k141_949687_6	ko:K13766
k141_766928_1	ko:K07749
k141_766928_2	ko:K00344
k141_766931_1	ko:K07749
k141_766931_2	ko:K00604
k141_393203_1	ko:K05592
k141_949758_2	ko:K05539
k141_579662_1	ko:K06147
k141_579746_4	ko:K12410
k141_949932_1	ko:K02274,ko:K02298
k141_949932_3	ko:K02275
k141_393489_1	ko:K02968
k141_393489_2	ko:K00931
k141_393489_3	ko:K03979
k141_393489_4	ko:K02899
k141_393489_5	ko:K02888
k141_393489_6	ko:K02523
k141_393489_7	ko:K00801
k141_20932_1	ko:K01649
k141_20932_3	ko:K07303
k141_579923_1	ko:K03611
k141_767234_1	ko:K07793
k141_767234_3	ko:K07795
k141_767234_4	ko:K01053
k141_767234_6	ko:K14448
k141_767234_7	ko:K22205
k141_949992_3	ko:K01800,ko:K01801
k141_20984_1	ko:K03639
k141_1133553_3	ko:K10563
k141_207502_1	ko:K03686
k141_207502_2	ko:K04043
k141_207502_3	ko:K03687
k141_207502_4	ko:K03711
k141_207502_5	ko:K06186
k141_207502_6	ko:K09801
k141_393648_1	ko:K21929
k141_1133685_2	ko:K08591
k141_580046_13	ko:K01299
k141_580046_19	ko:K03594
k141_580046_21	ko:K03711
k141_580046_22	ko:K03524
k141_580046_23	ko:K03525
k141_580046_25	ko:K02358
k141_580046_26	ko:K03073
k141_580046_27	ko:K02601
k141_580046_28	ko:K02867
k141_580046_29	ko:K02863
k141_580046_30	ko:K02864
k141_580046_31	ko:K02935
k141_580046_32	ko:K03043
k141_580046_33	ko:K03046
k141_580046_35	ko:K02950
k141_580046_36	ko:K02992
k141_580046_37	ko:K02355
k141_393892_2	ko:K00286
k141_393892_3	ko:K06997
k141_393892_4	ko:K02669
k141_393967_2	ko:K02027
k141_393967_3	ko:K02025
k141_21221_1	ko:K01652
k141_21221_2	ko:K11717
k141_767684_2	ko:K01491
k141_767684_4	ko:K00606
k141_767684_5	ko:K01156
k141_767684_9	ko:K07316
k141_394059_1	ko:K08282
k141_394059_2	ko:K03210
k141_394059_3	ko:K01560
k141_394059_4	ko:K01897
k141_767796_1	ko:K15635
k141_394201_1	ko:K11804
k141_394201_2	ko:K02678,ko:K21932
k141_950550_1	ko:K06888
k141_21574_1	ko:K03497
k141_21574_2	ko:K03496
k141_394496_1	ko:K16461
k141_21639_2	ko:K02025
k141_768149_3	ko:K01515
k141_768149_5	ko:K09457
k141_768149_6	ko:K09459
k141_768149_7	ko:K09459
k141_768149_8	ko:K01740,ko:K03430,ko:K05306,ko:K09469
k141_768149_10	ko:K00992
k141_768149_11	ko:K07027
k141_768149_12	ko:K02523
k141_768149_13	ko:K00265
k141_768149_14	ko:K00266
k141_21662_1	ko:K08963
k141_21662_3	ko:K01485
k141_21662_4	ko:K02057
k141_21662_5	ko:K02057
k141_21662_6	ko:K02056
k141_21662_13	ko:K01685
k141_394662_2	ko:K01262
k141_394662_3	ko:K03185
k141_950798_1	ko:K02336,ko:K06877,ko:K07501
k141_950798_2	ko:K03575
k141_950798_3	ko:K02014
k141_950798_4	ko:K03644
k141_950798_5	ko:K02035
k141_950798_6	ko:K02033,ko:K13894
k141_950798_8	ko:K02034
k141_950798_11	ko:K02032,ko:K10823
k141_950798_12	ko:K06990
k141_950798_13	ko:K03767,ko:K03768
k141_950798_16	ko:K03386
k141_950798_18	ko:K05896
k141_950798_19	ko:K06024
k141_950798_22	ko:K00571,ko:K07319
k141_208308_2	ko:K01923
k141_950832_1	ko:K01703
k141_580687_2	ko:K08281
k141_208437_1	ko:K04763
k141_208472_1	ko:K02258
k141_208510_1	ko:K03466
k141_950954_2	ko:K01735
k141_21846_1	ko:K00451
k141_21846_2	ko:K15866
k141_21846_3	ko:K02614
k141_580749_4	ko:K00059
k141_951034_1	ko:K01881
k141_951062_3	ko:K00344
k141_580823_1	ko:K04110
k141_580823_2	ko:K04110
k141_951097_1	ko:K03518
k141_951097_2	ko:K03520
k141_395100_2	ko:K03557
k141_395100_4	ko:K01961
k141_395100_5	ko:K02160
k141_395100_6	ko:K03786
k141_1134778_2	ko:K00342
k141_395104_1	ko:K17322
k141_395104_2	ko:K17323
k141_580899_2	ko:K07176
k141_21987_1	ko:K11860
k141_395211_2	ko:K09142
k141_395211_3	ko:K03432
k141_395211_4	ko:K09738
k141_395211_5	ko:K03529
k141_395211_7	ko:K02032
k141_395211_13	ko:K01881
k141_951329_1	ko:K17103
k141_951329_6	ko:K06720
k141_951329_8	ko:K00302,ko:K22086
k141_951329_9	ko:K00304,ko:K22085
k141_951329_10	ko:K00303
k141_951329_12	ko:K01799
k141_951329_13	ko:K02028
k141_951329_14	ko:K02029,ko:K10003
k141_951329_16	ko:K02030
k141_581111_1	ko:K03498
k141_22179_1	ko:K15977
k141_951373_1	ko:K00265
k141_22230_2	ko:K02909
k141_395397_2	ko:K03738
k141_951426_1	ko:K02357
k141_951426_2	ko:K02838
k141_209016_2	ko:K05548
k141_1135162_5	ko:K13995
k141_1135166_2	ko:K13995
k141_581334_2	ko:K01640
k141_395511_1	ko:K04084
k141_22527_3	ko:K02257
k141_395619_1	ko:K20497
k141_395619_4	ko:K02617,ko:K08279
k141_581477_1	ko:K01881
k141_581477_3	ko:K01079
k141_581477_4	ko:K12234
k141_581477_5	ko:K04799
k141_209245_1	ko:K04044
k141_209245_2	ko:K04082
k141_209245_3	ko:K05997,ko:K13628
k141_209245_4	ko:K04488
k141_209245_5	ko:K04487
k141_209245_6	ko:K13643
k141_581487_1	ko:K00281,ko:K00283
k141_581487_2	ko:K03644
k141_951748_2	ko:K01735,ko:K13829
k141_951748_3	ko:K01698
k141_951748_4	ko:K04771
k141_951748_5	ko:K03667
k141_951748_6	ko:K01419
k141_951748_7	ko:K03517
k141_22672_1	ko:K01990
k141_951828_3	ko:K13292
k141_951828_4	ko:K00287
k141_951828_7	ko:K01687
k141_951828_8	ko:K14682
k141_951893_2	ko:K05366
k141_22797_1	ko:K01153
k141_22814_1	ko:K00123
k141_769429_1	ko:K00568
k141_769429_2	ko:K12960
k141_769429_3	ko:K02469
k141_769429_4	ko:K00831
k141_769429_5	ko:K14170
k141_769429_6	ko:K00817
k141_769429_7	ko:K04517
k141_769429_8	ko:K00945
k141_769429_9	ko:K02945
k141_769429_10	ko:K05788
k141_769429_12	ko:K02237
k141_769429_13	ko:K00091,ko:K01784
k141_769429_14	ko:K13007
k141_396080_1	ko:K03648
k141_396080_2	ko:K06980
k141_396080_3	ko:K00240,ko:K09159
k141_396080_5	ko:K00278
k141_396080_8	ko:K00114
k141_396080_9	ko:K02970
k141_396080_10	ko:K02316
k141_396185_3	ko:K03269
k141_769530_1	ko:K03231
k141_769530_2	ko:K02946
k141_769530_3	ko:K03059
k141_952109_1	ko:K02335
k141_952170_2	ko:K05786
k141_952204_1	ko:K00966,ko:K16881
k141_209664_1	ko:K00951
k141_209664_2	ko:K16841
k141_23047_1	ko:K10804
k141_1135838_1	ko:K07552
k141_952295_2	ko:K07447
k141_952295_3	ko:K01920
k141_952295_5	ko:K01624
k141_1135852_2	ko:K11209
k141_952361_2	ko:K01876
k141_952361_3	ko:K06178,ko:K06181,ko:K06182
k141_952361_6	ko:K01951
k141_952361_7	ko:K00088
k141_396604_1	ko:K00681
k141_396605_2	ko:K00681
k141_582141_1	ko:K01693
k141_582141_2	ko:K02501
k141_582141_3	ko:K01814
k141_582141_4	ko:K02500
k141_582141_5	ko:K01496
k141_396637_1	ko:K00031
k141_396637_2	ko:K03635
k141_396637_4	ko:K03637
k141_396637_5	ko:K00566
k141_396637_6	ko:K01756
k141_396637_8	ko:K01637
k141_396637_10	ko:K01720
k141_396637_11	ko:K01659
k141_396637_12	ko:K03417
k141_396637_13	ko:K02203
k141_396637_14	ko:K07454
k141_396637_15	ko:K00590
k141_396637_16	ko:K00390
k141_396637_18	ko:K13634
k141_396637_19	ko:K01081
k141_396637_23	ko:K02014
k141_582205_1	ko:K07318
k141_582205_3	ko:K01338
k141_582212_1	ko:K01754
k141_582215_1	ko:K02056
k141_582215_2	ko:K02057
k141_582215_3	ko:K02058
k141_770024_2	ko:K18459
k141_23289_2	ko:K00043
k141_23304_2	ko:K03316
k141_23304_3	ko:K03474
k141_952556_1	ko:K01810
k141_952556_2	ko:K01053
k141_952556_3	ko:K00571
k141_952556_5	ko:K01625
k141_582458_2	ko:K07458
k141_582458_4	ko:K07725
k141_210176_1	ko:K03980
k141_210176_2	ko:K01714
k141_952803_4	ko:K02302,ko:K02303
k141_952803_6	ko:K07340
k141_770434_1	ko:K00666,ko:K18688
k141_770434_3	ko:K03555
k141_210314_2	ko:K11688
k141_210314_4	ko:K11690
k141_210314_5	ko:K04090
k141_397217_1	ko:K00647
k141_397217_2	ko:K01716
k141_397217_4	ko:K03639
k141_397227_1	ko:K11209
k141_397227_2	ko:K07098
k141_397227_3	ko:K00873
k141_952885_1	ko:K02164,ko:K02276,ko:K02299
k141_952885_3	ko:K02258
k141_952885_7	ko:K02274
k141_952888_2	ko:K03637
k141_397305_2	ko:K00995,ko:K08744
k141_397305_3	ko:K03703
k141_397305_5	ko:K09764
k141_397305_7	ko:K00249
k141_210431_1	ko:K07443
k141_397421_3	ko:K02536
k141_397425_1	ko:K00645,ko:K13935
k141_397425_2	ko:K00544
k141_397425_3	ko:K06048
k141_1136477_1	ko:K07497
k141_397556_1	ko:K00525
k141_210629_2	ko:K01095
k141_210629_3	ko:K03625
k141_210629_4	ko:K00794
k141_953242_1	ko:K00833
k141_953242_2	ko:K01012
k141_953242_3	ko:K00639
k141_953242_5	ko:K03124
k141_953242_7	ko:K03113
k141_953242_8	ko:K07143
k141_953242_16	ko:K03124
k141_953242_21	ko:K03821
k141_953242_26	ko:K07304
k141_953242_28	ko:K02434
k141_953242_29	ko:K02433
k141_953242_30	ko:K02435
k141_953242_31	ko:K09759
k141_953242_33	ko:K06863
k141_953242_35	ko:K02042
k141_953242_36	ko:K02041
k141_953242_37	ko:K02044
k141_953242_40	ko:K07448
k141_953242_41	ko:K01858
k141_953242_42	ko:K00809
k141_953242_45	ko:K06869
k141_397826_1	ko:K01739,ko:K01760,ko:K01761
k141_953299_1	ko:K16843
k141_953299_2	ko:K00852,ko:K18478
k141_953299_3	ko:K01635,ko:K01671
k141_397841_2	ko:K01689
k141_24033_1	ko:K02472
k141_397893_3	ko:K02527
k141_397893_4	ko:K01613
k141_397893_5	ko:K02012
k141_1136859_3	ko:K01876
k141_210850_1	ko:K02343
k141_210850_2	ko:K09747
k141_210850_3	ko:K06187
k141_210850_4	ko:K03684
k141_210850_11	ko:K01737
k141_210850_13	ko:K03637
k141_210850_14	ko:K03636
k141_210850_15	ko:K03635
k141_210850_16	ko:K00762
k141_210850_17	ko:K05807
k141_210850_18	ko:K06180
k141_210850_19	ko:K03695
k141_24078_3	ko:K01887
k141_1136929_1	ko:K16052
k141_1136929_2	ko:K01142
k141_24136_1	ko:K02112
k141_583364_1	ko:K02996
k141_24189_2	ko:K02014
k141_24189_3	ko:K07302
k141_24189_4	ko:K07303
k141_24189_7	ko:K01474
k141_583423_1	ko:K00499,ko:K22443
k141_398193_1	ko:K03296
k141_1137135_1	ko:K01897
k141_771397_1	ko:K06996
k141_771397_2	ko:K00626,ko:K00632
k141_1137219_1	ko:K02990
k141_1137219_3	ko:K12573
k141_24401_2	ko:K04077
k141_24401_3	ko:K04078
k141_24401_4	ko:K07113
k141_24401_6	ko:K04084
k141_398341_1	ko:K00333,ko:K13378
k141_24439_1	ko:K04751
k141_953782_2	ko:K03787
k141_953782_3	ko:K00573
k141_953782_4	ko:K06194
k141_953782_5	ko:K03111
k141_771493_4	ko:K11070
k141_771493_6	ko:K11940
k141_771493_8	ko:K00406
k141_583603_2	ko:K01915
k141_583603_3	ko:K04028
k141_583603_5	ko:K00077,ko:K04940
k141_583603_6	ko:K13922
k141_583603_9	ko:K04782
k141_583603_10	ko:K22083
k141_583603_12	ko:K22081
k141_583603_14	ko:K01996
k141_583603_16	ko:K01998
k141_583603_17	ko:K01997
k141_583603_18	ko:K01999
k141_583603_20	ko:K00344
k141_953801_3	ko:K03237
k141_953801_7	ko:K16768
k141_953840_1	ko:K08218
k141_953840_2	ko:K00762
k141_398516_1	ko:K00962
k141_398516_2	ko:K02956
k141_398516_4	ko:K00133
k141_953883_3	ko:K06196
k141_211348_2	ko:K01803
k141_211348_3	ko:K03075
k141_398658_2	ko:K01652
k141_398658_3	ko:K03075
k141_398658_4	ko:K01803
k141_583954_1	ko:K01883
