#query	KEGG_ko
k141_50794_2	K02026
k141_611379_2	K00059
k141_238070_2	K07031
k141_611928_2	K01011
k141_611928_3	K06995
k141_611928_4	K05527
k141_611928_5	K22491
k141_611928_7	K03424
k141_611928_10	K02453
k141_611928_11	K02450
k141_978857_1	K01154,K03427
k141_612265_3	K00042
k141_427947_7	K02192
k141_427947_9	K09861
k141_427947_14	K09948
k141_427947_19	K01153
k141_612495_1	K11177,K16877
k141_612495_4	K07161
k141_612495_6	K07133
k141_239093_4	K03611
k141_52099_1	K01919
k141_52099_2	K03806
k141_52160_1	K01892
k141_979337_3	K03111
k141_612930_1	K01783
k141_1166603_3	K03644
k141_1166603_8	K01883
k141_1166603_9	K03929
k141_1166603_11	K05786
k141_1166603_12	K14683
k141_1166603_15	K06180
k141_1166603_16	K05807
k141_1166603_17	K02481,K02667
k141_1166603_19	K03559
k141_1166603_20	K03317
k141_1166603_21	K02343
k141_1166603_23	K06187
k141_1166603_24	K03684
k141_613170_1	K03701
k141_613170_3	K02040
k141_613170_6	K02879
k141_613170_7	K03040
k141_613170_8	K02986
k141_613170_9	K02948
k141_613170_11	K02919
k141_613170_12	K03076
k141_613170_13	K02876
k141_613170_14	K02907
k141_613170_15	K02988
k141_613170_16	K02881
k141_613170_17	K02933
k141_613170_19	K02954
k141_613170_20	K02931
k141_613170_21	K02895
k141_613170_22	K02874
k141_613170_23	K02961
k141_613170_24	K02904
k141_613170_25	K02878
k141_613170_26	K02982
k141_613170_27	K02890
k141_613170_28	K02965
k141_613170_29	K02886
k141_613170_30	K02892
k141_613170_31	K02926
k141_613170_32	K02906
k141_613170_33	K02946
k141_613170_34	K02358
k141_1166815_3	K07043
k141_1166815_4	K01951
k141_1166815_5	K00088
k141_613908_1	K09700
k141_799921_1	K01881
k141_53471_1	K02906
k141_614217_5	K08316
k141_614217_6	K03110
k141_614217_8	K06147,K13409
k141_614446_1	K00571
k141_614446_3	K18312
k141_614446_15	K00480,K20940,K22270
k141_614648_1	K21309
k141_614648_2	K01673
k141_614648_3	K00184,K21308
k141_614648_4	K21307
k141_614648_5	K00528
k141_614648_7	K21498
k141_981394_1	K02302,K02303
k141_981394_3	K11179
k141_1168602_3	K01812,K02529,K16210
k141_431054_1	K17321
k141_616023_1	K01595
k141_616023_2	K01579
k141_616030_18	K00608,K00609
k141_616030_22	K06920
k141_431762_1	K11529
k141_431762_3	K00764
k141_1169891_2	K00175
k141_1169891_3	K00174
k141_1169891_4	K00266
k141_616556_2	K03553
k141_983052_1	K06134
k141_983052_2	K01104
k141_803179_2	K00789
k141_433106_1	K01679
k141_433106_3	K01992
k141_433106_4	K01990
k141_57623_1	K09970
k141_57623_2	K09969
k141_57951_2	K03602
k141_433757_1	K01687
k141_984326_1	K16091
k141_618141_1	K09970
k141_618141_2	K02029,K09971,K10002,K10037
k141_804489_1	K02341
k141_804578_1	K06189
k141_804578_2	K07042
k141_804578_3	K06217
k141_804578_4	K06168
k141_1172023_2	K01868
k141_1172023_6	K00346
k141_1172023_7	K00347,K03614
k141_1172023_8	K00348
k141_1172023_9	K00349
k141_1172023_10	K00350
k141_1172023_11	K00351
k141_1172023_13	K00858
k141_1172023_17	K03438
k141_1172023_20	K01928
k141_1172023_21	K01000
k141_1172023_22	K01925
k141_1172023_24	K01924
k141_1172023_28	K03531
k141_1172023_30	K02535
k141_1172023_37	K00795,K13789
k141_1172023_42	K07232
k141_1172023_45	K02277
k141_1172023_47	K06213
k141_1172023_48	K02806
k141_1172023_49	K05808
k141_1172023_50	K03092
k141_1172023_51	K06861
k141_1172023_55	K07301
k141_1172023_57	K00602
k141_1172023_59	K07657
k141_1172023_60	K07636
k141_1172023_66	K06147
k141_619367_1	K01156
k141_435198_2	K01156
k141_985311_2	K00962
k141_985311_3	K00962
k141_985311_4	K01989
k141_246010_1	K03794
k141_619702_1	K07566
k141_619702_3	K06926
k141_435486_2	K00215
k141_60267_1	K05515
k141_60267_2	K01507
k141_60267_3	K07390
k141_60267_4	K01474
k141_60267_6	K00821
k141_60267_7	K00611
k141_60267_8	K02039
k141_60267_11	K02036
k141_60267_12	K07636
k141_60688_1	K00134
k141_247214_1	K09796
k141_247214_3	K02879
k141_247214_4	K03040
k141_247214_5	K02986
k141_247214_7	K02952
k141_247214_8	K03076
k141_247214_9	K02876
k141_247214_10	K02907
k141_247214_11	K02988
k141_247214_12	K02881
k141_247214_13	K02933
k141_247214_14	K02994
k141_247214_15	K02954
k141_247214_16	K02931
k141_247214_17	K02895
k141_247214_18	K02874
k141_247214_19	K02961
k141_247214_20	K02904
k141_247214_21	K02878
k141_247214_22	K02982
k141_247214_23	K02890
k141_247214_24	K02965
k141_247214_25	K02886
k141_247214_26	K02892
k141_247214_27	K02926
k141_247214_28	K02906
k141_247214_29	K02358
k141_247214_30	K02355
k141_247214_31	K02992
k141_247214_32	K02950
k141_247214_33	K03702
k141_247214_34	K03657
k141_247214_35	K00241
k141_247214_36	K00242
k141_247214_37	K00239
k141_247214_38	K00240
k141_247214_39	K00164
k141_247214_40	K00658
k141_247214_41	K00382
k141_247214_42	K01903
k141_247214_43	K01902
k141_247214_44	K04079
k141_247214_46	K01736
k141_247214_49	K12340
k141_247214_52	K01120,K03651,K11175
k141_247214_53	K02622
k141_247214_54	K02621
k141_247214_55	K01479,K01480,K12255
k141_247214_56	K01525
k141_247255_2	K00571
k141_986998_1	K01955
k141_986998_2	K03624
k141_621349_2	K07397
k141_808062_3	K01992
k141_808062_13	K01778
k141_247908_1	K07488
k141_247993_2	K03270
k141_247993_3	K05808
k141_247993_4	K02806
k141_247993_5	K06023
k141_247993_7	K02821
k141_247993_8	K11189
k141_247993_9	K08483
k141_808286_2	K06016
k141_808286_4	K02014
k141_808286_7	K01634
k141_808286_9	K01479,K01480,K18459
k141_808286_12	K00073
k141_62059_2	K03503
k141_622082_2	K03389
k141_1175599_1	K11175
k141_62326_1	K01495
k141_62326_2	K09780
k141_62326_4	K00523
k141_1175713_4	K01638
k141_1175713_7	K00797
k141_248968_1	K01662
k141_248968_2	K00574,K20238
k141_248968_3	K02237
k141_1177323_1	K04768
k141_989645_1	K02276
k141_624174_1	K03070
k141_624174_9	K03724
k141_624174_11	K06902
k141_624174_14	K11159
k141_624174_15	K11159
k141_624174_16	K02014
k141_624174_18	K00459
k141_624174_20	K00626
k141_624384_1	K01156
k141_624384_2	K06889
k141_624384_4	K03664
k141_624384_5	K03308
k141_624384_7	K09801
k141_624384_8	K06186
k141_250993_1	K03111
k141_251329_10	K01498,K11752
k141_251329_12	K03832
k141_251329_22	K01940
k141_251329_25	K06206
k141_252638_1	K07222
k141_1179990_1	K10747
k141_1180339_1	K22131
k141_1180339_2	K01820
k141_626670_3	K07391
k141_626670_5	K04096
k141_626670_8	K00571
k141_626670_10	K04761
k141_626670_11	K00602
k141_626670_12	K01945,K13713
k141_443602_1	K05524
k141_253202_1	K02337
k141_443848_3	K01724
k141_443848_4	K00122
k141_253520_2	K11754
k141_813721_3	K04752
k141_813721_18	K00928
k141_813721_19	K01872
k141_67282_2	K01689
k141_67392_2	K03640
k141_627424_1	K03525
k141_814778_1	K03427
k141_445355_1	K03545
k141_445355_2	K01358
k141_445355_4	K07075
k141_445355_5	K03544
k141_445355_6	K01338
k141_445355_7	K03530
k141_993695_3	K08282
k141_993695_4	K08282
k141_993695_8	K01439
k141_993695_9	K04088
k141_993695_10	K04087
k141_445964_2	K07233
k141_445964_3	K01473
k141_994361_2	K14274
k141_69319_5	K02029
k141_446287_2	K02470
k141_69443_3	K11779,K11784
k141_69483_1	K03820
k141_816096_1	K02035
k141_629515_1	K03557
k141_629515_2	K03673
k141_629515_5	K08218
k141_629515_6	K01142
k141_629515_7	K00762
k141_994846_2	K01939
k141_994846_7	K01889
k141_994846_62	K00088
k141_994846_64	K02954
k141_629861_2	K03655
k141_629861_4	K00951,K01139
k141_629861_5	K03060
k141_629861_6	K00942
k141_995324_1	K01915
k141_995330_6	K07497
k141_257079_3	K02654
k141_257079_4	K01092
k141_70824_1	K06204
k141_257411_2	K11179
k141_257411_3	K07237
k141_257411_4	K07236
k141_257411_6	K11181
k141_257411_7	K11180
k141_996356_1	K01895
k141_1185295_13	K02982
k141_258134_1	K09476
k141_996896_2	K00571,K07316
k141_632246_1	K01784
k141_632246_3	K02517
k141_997164_1	K17686
k141_259645_1	K07462
k141_819629_5	K02919
k141_819834_8	K03424
k141_633750_1	K02257
k141_633750_2	K03089
k141_1187775_2	K01151
k141_450780_1	K01560
k141_999327_3	K01641,K15311
k141_999327_4	K00869
k141_1188846_4	K18565
k141_452127_2	K06443
k141_637766_1	K09928
k141_1002072_1	K03561
k141_637920_6	K03628
k141_637920_7	K03671
k141_637920_9	K00652
k141_78469_6	K03530
k141_1192259_4	K10112
k141_825257_1	K00574
k141_1003698_3	K00558
k141_639718_1	K01153,K15524
k141_456557_9	K18672
k141_456565_2	K07071
k141_456569_8	K06996
k141_456569_12	K03427
k141_456569_14	K01153
k141_268223_1	K09970
k141_641095_3	K00962
k141_1195380_1	K02356
k141_1195380_2	K04568
k141_1195380_3	K01597
k141_1195380_4	K00869,K00938,K16190
k141_1195380_5	K00054
k141_1195380_6	K01823
k141_1195380_7	K01641,K15311
k141_1195380_9	K01524
k141_1195380_10	K00937
k141_1195380_11	K15256
k141_1195380_12	K15257
k141_1195380_15	K19416
k141_1195380_16	K07235
k141_1195380_19	K11179
k141_1195380_25	K00324
k141_1195380_30	K06173
k141_1195380_31	K00052
k141_1195380_33	K03723
k141_1195380_36	K00957
k141_1195380_38	K07102
k141_1195380_39	K00966,K00992
k141_1195380_40	K06923
k141_1195380_49	K00681
k141_1195380_50	K03074
k141_1195380_51	K03072
k141_1195380_52	K03210
k141_1195380_53	K00773
k141_1195380_56	K07568
k141_1195380_57	K03601
k141_1195380_62	K03701
k141_1195380_63	K03743
k141_1195380_64	K03553
k141_1195380_65	K02533,K15396
k141_458364_10	K06889,K07397
k141_458364_12	K01082
k141_1006691_3	K01265
k141_269774_7	K01756
k141_829293_2	K12515
k141_1196790_1	K03650
k141_643133_1	K01439
k141_643133_2	K07501
k141_643133_3	K12339
k141_643133_4	K00997
k141_643133_5	K03474
k141_643133_7	K03595
k141_643133_8	K03685
k141_643133_9	K03100
k141_643133_11	K04764
k141_84200_1	K03624
k141_1008173_2	K07684
k141_1008173_3	K07673
k141_1008173_7	K00627
k141_1008173_8	K00382
k141_830210_3	K13993
k141_830210_15	K01278
k141_830210_16	K01271
k141_830210_17	K13479,K16878
k141_830210_19	K11177
k141_830210_26	K08640
k141_830210_30	K02450
k141_84509_1	K11529
k141_84509_2	K03269
k141_84509_3	K03768
k141_1197752_2	K03274
k141_1197752_4	K07133
k141_271624_3	K14682
k141_461143_1	K02836
k141_461300_3	K02470
k141_644343_3	K03704
k141_1198685_1	K16092
k141_1198685_2	K01338,K08675
k141_272717_1	K01754
k141_645246_1	K02003
k141_86116_4	K01895
k141_86116_10	K12978
k141_645292_1	K15633
k141_645292_3	K07304
k141_86243_1	K06926
k141_86243_2	K03630
k141_645615_3	K03179
k141_273724_2	K11003
k141_87006_1	K00605
k141_274181_1	K20533
k141_833387_2	K01704
k141_833387_3	K01885
k141_464143_2	K02956
k141_464208_2	K02040
k141_274896_2	K07340
k141_647246_1	K06204
k141_647246_2	K03601
k141_647246_3	K00088
k141_275292_15	K06909
k141_1202162_9	K01156
k141_465424_2	K00927
k141_648253_2	K01934
k141_648253_5	K01091
k141_648253_8	K00830
k141_834863_2	K01154
k141_1202604_1	K22468
k141_1202604_2	K02844
k141_89451_1	K02238
k141_89455_1	K02238
k141_835103_1	K01939
k141_835103_7	K01897
k141_835103_10	K03593
k141_89761_1	K00571
k141_277106_2	K03316
k141_1203270_1	K09458
k141_1203270_2	K02078
k141_1203270_4	K00059
k141_1203270_5	K00645
k141_1203270_6	K02518
k141_1203270_7	K03694
k141_1203270_8	K06891
k141_1203270_10	K00566
k141_1203270_13	K01153
k141_649378_4	K02939
k141_649378_5	K02963
k141_649378_11	K00031
k141_1203636_2	K02535,K16363
k141_1013736_1	K07232
k141_650837_1	K01156
k141_278670_1	K00001,K19745
k141_91708_2	K07316
k141_651264_17	K00128,K06447
k141_651264_19	K20327
k141_1015148_1	K00554
k141_1206486_6	K00930
k141_1206486_12	K01714
k141_470066_1	K01652
k141_470066_2	K01652
k141_470066_3	K00567
k141_653207_1	K01939
k141_653207_2	K02502
k141_653207_4	K00677
k141_653207_6	K02536
k141_653207_7	K06142
k141_653207_8	K07277
k141_653207_9	K11749
k141_653207_11	K03571
k141_653207_12	K03570
k141_653207_13	K03569
k141_653207_14	K02435
k141_653207_15	K02433
k141_653481_2	K07504
k141_653481_3	K01935
k141_1207719_2	K00558
k141_1207721_2	K03498
k141_1207721_3	K03499
k141_1207721_4	K00604
k141_94476_2	K12340
k141_94476_4	K00950
k141_1208796_1	K03654
k141_1208796_2	K00821,K00840
k141_1208798_2	K03654
k141_654830_1	K07488
k141_284240_1	K12942
k141_284240_2	K07452
k141_473430_2	K03673
k141_473430_3	K03557
k141_1210097_1	K10111
k141_656161_1	K06985
k141_1211144_3	K01493
k141_1211258_2	K12980
k141_286316_1	K01156
k141_286464_3	K01845
k141_843870_1	K02945
k141_1212668_1	K02018
k141_1212668_5	K09970
k141_844591_2	K03089
k141_475984_1	K01875
k141_476600_2	K01897
k141_847542_1	K12982
k141_1022530_1	K17103
k141_1022530_2	K00053
k141_1022530_3	K01653
k141_1022530_4	K04085
k141_1216466_1	K01419
k141_1216466_2	K03733
k141_1216466_4	K01778
k141_102628_1	K01872
k141_102628_2	K03565
k141_102628_3	K03553
k141_102628_4	K03743
k141_102628_5	K03555
k141_1217097_2	K06902
k141_292692_3	K03500
k141_292692_4	K00813,K00832
k141_1024469_2	K02805,K13017,K18653
k141_481092_2	K00134
k141_481092_3	K00927
k141_104569_2	K16092
k141_1218583_3	K03594,K03921,K20087
k141_851053_1	K02115
k141_851053_3	K02112
k141_851053_4	K02114
k141_851053_7	K04042
k141_851053_8	K00820
k141_665189_1	K02302,K02303
k141_665189_3	K11179
k141_483031_1	K03977
k141_483031_2	K17713
k141_483031_4	K01892
k141_483031_5	K02656
k141_483031_7	K06941
k141_483031_8	K00940
k141_483031_10	K15723
k141_483031_16	K02460
k141_483031_17	K02459
k141_483031_20	K02246,K02456,K02457,K02458,K10924
k141_483031_21	K02455
k141_483031_22	K02454
k141_483031_23	K00609
k141_483031_25	K03522
k141_483031_26	K03521
k141_295253_1	K02553
k141_295253_2	K01999
k141_483422_2	K00971,K16011
k141_483422_5	K00548
k141_483422_6	K07400
k141_483422_8	K03308
k141_483422_10	K09801
k141_483422_12	K03519,K16878
k141_665817_1	K01923
k141_106237_3	K07152
k141_106237_4	K02257
k141_106237_5	K02259
k141_106237_7	K14998
k141_106237_9	K02276
k141_106237_10	K02258
k141_106237_11	K02274,K02298
k141_106237_12	K02275
k141_1028307_1	K00001
k141_1028307_2	K04774
k141_1028307_3	K03272,K21344
k141_1222327_2	K02600
k141_1222352_1	K02871
k141_1222352_2	K02996
k141_1222352_3	K00411
k141_1222352_4	K00412
k141_1222352_5	K00413
k141_1222352_6	K03599
k141_1222352_7	K03218
k141_1222352_8	K12573
k141_1222352_12	K00263
k141_1222352_14	K00615
k141_1222352_15	K00927
k141_486924_1	K11749
k141_669450_1	K02065
k141_669450_2	K02066
k141_669450_3	K02067
k141_669450_5	K07122
k141_669450_7	K00790
k141_669450_8	K00765
k141_669450_9	K00013
k141_669450_10	K06916
k141_669450_11	K07056
k141_669450_14	K07460
k141_669450_15	K03981
k141_669450_16	K00003,K12524
k141_669450_17	K07462
k141_669450_20	K06996
k141_669450_26	K01474
k141_669450_27	K01469,K01473,K10855
k141_669450_29	K16841
k141_669450_35	K01262
k141_669450_36	K03184,K18800
k141_110064_2	K03086
k141_110980_1	K09013
k141_110980_2	K12262
k141_671458_1	K00571,K01154,K03933,K07316
k141_671458_6	K03561
k141_1226433_1	K03563
k141_1226433_2	K00928
k141_1033379_1	K10763
k141_1033379_2	K08744
k141_673534_7	K07263
k141_673534_8	K07263
k141_861604_1	K00571
k141_1033853_1	K01218
k141_305908_1	K03520,K16877,K20171
k141_494208_1	K02275
k141_116407_1	K15580
k141_494610_1	K21395
k141_495342_3	K00826
k141_495342_4	K02841
k141_495342_5	K02848
k141_495342_7	K03111
k141_495342_8	K06996
k141_309251_3	K02004
k141_117454_1	K06204
k141_866386_1	K01092
k141_866386_2	K02533,K15396
k141_866386_3	K13643
k141_866386_4	K04487
k141_679746_1	K07102
k141_312133_2	K07316
k141_119831_2	K01494
k141_119831_4	K00627
k141_119831_5	K00163
k141_119831_9	K00767
k141_119831_11	K01447,K03806
k141_681024_4	K08282
k141_1238312_1	K06996
k141_315093_2	K00020
k141_1238761_1	K00800
k141_871560_2	K05559,K05565
k141_871560_3	K05559,K05565,K05566
k141_871560_5	K05568
k141_872041_5	K00161,K00162,K00167,K11381
k141_872041_6	K00627,K00658
k141_317370_3	K03611
k141_1240734_2	K18541,K21801
k141_1240734_3	K01912
k141_1240734_5	K02616
k141_1044316_4	K01256
k141_1044316_5	K03269
k141_1044316_6	K01491
k141_1044316_7	K03216
k141_1044316_8	K02014
k141_1044316_12	K00789
k141_1044316_14	K09761
k141_1044316_15	K01920
k141_1044316_16	K03832
k141_1044316_20	K00480,K20940,K22270
k141_1044316_22	K01409
k141_1044316_24	K01887
k141_1044316_25	K03704
k141_1044316_27	K03474
k141_1044316_30	K01867
k141_1044316_31	K05896
k141_1044316_32	K06024
k141_1044316_34	K00571
k141_1044316_35	K03327
k141_1044316_38	K00113,K11473
k141_319583_1	K03595
k141_875233_1	K02493
k141_875233_2	K03148,K21029
k141_505425_1	K02529
k141_505425_2	K01133
k141_1243426_1	K02469
k141_505476_1	K03548
k141_505476_2	K04754
k141_505478_1	K03548
k141_505478_2	K04754
k141_687420_2	K03665
k141_1048171_3	K02450
k141_1048171_5	K14445
k141_1048171_9	K03524
k141_1048171_11	K06988
k141_1048171_13	K11212
k141_1048171_15	K11779
k141_129489_1	K08678
k141_129634_1	K03644
k141_1247141_1	K08282
k141_130915_3	K01533
k141_130915_5	K09792
k141_130915_9	K03734
k141_130915_10	K05952
k141_130915_12	K09810
k141_130915_14	K09928
k141_132082_3	K01356
k141_132235_2	K01724
k141_513173_1	K01465
k141_513173_9	K00366,K00390,K00860
k141_133499_3	K01465
k141_884403_4	K03559
k141_884940_1	K01649,K02594
k141_1253945_1	K01338,K08675
k141_136149_1	K19135
k141_136149_3	K19132
k141_333190_1	K04078
k141_333190_3	K07443
k141_333190_4	K09767
k141_333190_5	K00798
k141_333190_7	K06985
k141_1055612_2	K13776
k141_333436_1	K19416
k141_137760_4	K08679
k141_137841_3	K00528
k141_888561_2	K00254
k141_888561_5	K02837
k141_888561_7	K18473
k141_888561_8	K03638
k141_889318_7	K02014
k141_1258057_25	K01154
k141_699512_2	K04093
k141_699512_3	K07152
k141_336302_2	K03089
k141_139146_2	K06915
k141_139856_3	K14742
k141_139856_4	K03750
k141_139856_6	K00939
k141_139856_7	K00820
k141_139856_8	K04042
k141_139856_9	K02114
k141_139856_10	K02112
k141_139856_11	K02115
k141_139856_12	K02111
k141_139856_13	K02113
k141_139856_14	K02109
k141_139856_15	K02110
k141_139856_19	K02014
k141_139894_1	K01515,K03574
k141_337996_1	K03640
k141_892133_5	K03601
k141_895200_5	K05570
k141_706657_1	K00180
k141_706657_2	K18122
k141_344661_1	K02014
k141_897832_2	K07237
k141_528688_3	K10747
k141_348314_2	K02054
k141_1270245_6	K03750
k141_901390_4	K00384
k141_150389_2	K02453
k141_150389_5	K01439
k141_150389_6	K00674
k141_150389_7	K02003
k141_150389_8	K10804
k141_150389_10	K05527
k141_150389_13	K06134
k141_150389_14	K02503
k141_1071060_1	K07497
k141_1071060_2	K07497
k141_1071648_1	K03060
k141_1072398_1	K15633
k141_716576_1	K03427
k141_716930_1	K03801
k141_537011_1	K02358
k141_537011_2	K02355
k141_537011_3	K02992
k141_537011_4	K02950
k141_1073968_1	K04567
k141_1073968_2	K02836
k141_1073968_4	K01934
k141_1073968_5	K01462
k141_1073968_6	K01754
k141_1073968_7	K05801
k141_1073968_8	K00812,K12252
k141_1073968_9	K01652
k141_539520_1	K05801
k141_539520_4	K05801
k141_539520_5	K01409
k141_539520_6	K02221
k141_539520_7	K00286
k141_539520_9	K03611
k141_539520_10	K00526
k141_539520_11	K00525
k141_158055_1	K03621
k141_158055_2	K02911
k141_158055_3	K07337
k141_158704_1	K02959
k141_541919_10	K00097
k141_723754_2	K02909
k141_724025_1	K04043
k141_1080453_1	K01749
k141_1080453_4	K07391
k141_1080453_16	K13292
k141_1080453_18	K00287,K18590
k141_1080453_19	K04754
k141_163039_1	K01525
k141_1286037_1	K03071
k141_1286037_2	K00057
k141_1286037_3	K17828
k141_164722_1	K03427
k141_165307_1	K02427
k141_165307_2	K03798
k141_165307_3	K03431
k141_165307_4	K01803
k141_173450_5	K07027
k141_740413_4	K03325,K03741
k141_183831_2	K00571
k141_183831_4	K11473
